step,layer,mean_acc,mean_acc_pct,best_layer_at_step,best_acc_at_step,best_acc_at_step_pct,num_datasets,resize_mode,classifier
14000,1,0.7234440771,72.3444,4,0.7726119415,77.2612,128,interp512,rf
14000,2,0.7427028334,74.2703,4,0.7726119415,77.2612,128,interp512,rf
14000,3,0.7674684942,76.7468,4,0.7726119415,77.2612,128,interp512,rf
14000,4,0.7726119415,77.2612,4,0.7726119415,77.2612,128,interp512,rf
14000,5,0.7706634084,77.0663,4,0.7726119415,77.2612,128,interp512,rf
14000,6,0.7691689302,76.9169,4,0.7726119415,77.2612,128,interp512,rf
14000,7,0.7696992596,76.9699,4,0.7726119415,77.2612,128,interp512,rf
14000,8,0.7493198671,74.9320,4,0.7726119415,77.2612,128,interp512,rf
15000,0,0.5730749791,57.3075,4,0.7733654538,77.3365,128,interp512,rf
15000,1,0.7209835581,72.0984,4,0.7733654538,77.3365,128,interp512,rf
15000,2,0.7416829633,74.1683,4,0.7733654538,77.3365,128,interp512,rf
15000,3,0.7622464939,76.2246,4,0.7733654538,77.3365,128,interp512,rf
15000,4,0.7733654538,77.3365,4,0.7733654538,77.3365,128,interp512,rf
15000,5,0.7733044366,77.3304,4,0.7733654538,77.3365,128,interp512,rf
15000,6,0.7709243855,77.0924,4,0.7733654538,77.3365,128,interp512,rf
15000,7,0.7718801458,77.1880,4,0.7733654538,77.3365,128,interp512,rf
15000,8,0.7540218272,75.4022,4,0.7733654538,77.3365,128,interp512,rf
16000,0,0.5771588037,57.7159,4,0.7715119728,77.1512,128,interp512,rf
16000,1,0.7227901531,72.2790,4,0.7715119728,77.1512,128,interp512,rf
16000,2,0.7407567475,74.0757,4,0.7715119728,77.1512,128,interp512,rf
16000,3,0.7645298279,76.4530,4,0.7715119728,77.1512,128,interp512,rf
16000,4,0.7715119728,77.1512,4,0.7715119728,77.1512,128,interp512,rf
16000,5,0.7701273249,77.0127,4,0.7715119728,77.1512,128,interp512,rf
16000,6,0.7697293457,76.9729,4,0.7715119728,77.1512,128,interp512,rf
16000,7,0.7699043711,76.9904,4,0.7715119728,77.1512,128,interp512,rf
16000,8,0.7518237030,75.1824,4,0.7715119728,77.1512,128,interp512,rf
17000,0,0.5760563252,57.6056,4,0.7764905224,77.6491,128,interp512,rf
17000,1,0.7240957036,72.4096,4,0.7764905224,77.6491,128,interp512,rf
17000,2,0.7448519791,74.4852,4,0.7764905224,77.6491,128,interp512,rf
17000,3,0.7647752041,76.4775,4,0.7764905224,77.6491,128,interp512,rf
17000,4,0.7764905224,77.6491,4,0.7764905224,77.6491,128,interp512,rf
17000,5,0.7712780165,77.1278,4,0.7764905224,77.6491,128,interp512,rf
17000,6,0.7719875321,77.1988,4,0.7764905224,77.6491,128,interp512,rf
17000,7,0.7714099525,77.1410,4,0.7764905224,77.6491,128,interp512,rf
17000,8,0.7510006643,75.1001,4,0.7764905224,77.6491,128,interp512,rf
18000,0,0.5788184484,57.8818,5,0.7751987925,77.5199,128,interp512,rf
18000,1,0.7239942929,72.3994,5,0.7751987925,77.5199,128,interp512,rf
18000,2,0.7434449391,74.3445,5,0.7751987925,77.5199,128,interp512,rf
18000,3,0.7726230423,77.2623,5,0.7751987925,77.5199,128,interp512,rf
18000,4,0.7732870918,77.3287,5,0.7751987925,77.5199,128,interp512,rf
18000,5,0.7751987925,77.5199,5,0.7751987925,77.5199,128,interp512,rf
18000,6,0.7717204910,77.1720,5,0.7751987925,77.5199,128,interp512,rf
18000,7,0.7737012087,77.3701,5,0.7751987925,77.5199,128,interp512,rf
18000,8,0.7536412390,75.3641,5,0.7751987925,77.5199,128,interp512,rf
19000,0,0.5806484985,58.0648,5,0.7734121880,77.3412,128,interp512,rf
19000,1,0.7254759589,72.5476,5,0.7734121880,77.3412,128,interp512,rf
19000,2,0.7461482979,74.6148,5,0.7734121880,77.3412,128,interp512,rf
19000,3,0.7663718022,76.6372,5,0.7734121880,77.3412,128,interp512,rf
19000,4,0.7708484782,77.0848,5,0.7734121880,77.3412,128,interp512,rf
19000,5,0.7734121880,77.3412,5,0.7734121880,77.3412,128,interp512,rf
19000,6,0.7699008131,76.9901,5,0.7734121880,77.3412,128,interp512,rf
19000,7,0.7680306443,76.8031,5,0.7734121880,77.3412,128,interp512,rf
19000,8,0.7537282283,75.3728,5,0.7734121880,77.3412,128,interp512,rf
20000,0,0.5752436902,57.5244,6,0.7719532928,77.1953,128,interp512,rf
20000,1,0.7234843454,72.3484,6,0.7719532928,77.1953,128,interp512,rf
20000,2,0.7420141692,74.2014,6,0.7719532928,77.1953,128,interp512,rf
20000,3,0.7641489953,76.4149,6,0.7719532928,77.1953,128,interp512,rf
20000,4,0.7702074568,77.0207,6,0.7719532928,77.1953,128,interp512,rf
20000,5,0.7685239170,76.8524,6,0.7719532928,77.1953,128,interp512,rf
20000,6,0.7719532928,77.1953,6,0.7719532928,77.1953,128,interp512,rf
20000,7,0.7676223386,76.7622,6,0.7719532928,77.1953,128,interp512,rf
20000,8,0.7516793392,75.1679,6,0.7719532928,77.1953,128,interp512,rf
